record_id,employee_id,course_name,category,provider,completion_date,hours,status,result
TRN-00031,MOEI-10009,Service Design Thinking,Customer Service,Federal Authority for Government HR,2024-12-15,8,Completed,Passed
TRN-00032,MOEI-10009,Future Leaders Programme,Leadership & Management,Coursera (Gov Licence),2026-04-02,40,Completed,Passed
TRN-00033,MOEI-10009,Customer Happiness Standards,Customer Service,Coursera (Gov Licence),2023-02-03,16,Completed,Passed
TRN-00034,MOEI-10009,Arabic Business Writing,Language & Communication,External Vendor,2026-02-10,16,Completed,Passed
TRN-00035,MOEI-10009,Infrastructure Asset Management,Technical & Engineering,Federal Authority for Government HR,2024-10-09,16,Completed,Passed
TRN-00036,MOEI-10010,Strategic Decision Making,Leadership & Management,External Vendor,2026-02-05,12,Completed,Passed
TRN-00037,MOEI-10010,Service Design Thinking,Customer Service,External Vendor,,16,Enrolled,
TRN-00038,MOEI-10010,Code of Ethics Refresher,Compliance & Ethics,MOEI Academy,2025-04-03,8,Completed,Passed
TRN-00039,MOEI-10010,Infrastructure Asset Management,Technical & Engineering,External Vendor,2024-08-10,24,Completed,Passed
TRN-00040,MOEI-10010,Data-Driven Decision Making,Digital & AI,MOEI Academy,2024-08-25,40,Completed,Passed
TRN-00041,MOEI-10011,Energy Systems,Technical & Engineering,Mohammed Bin Rashid School of Government,2023-10-02,24,Completed,Passed
TRN-00042,MOEI-10011,Strategic Decision Making,Leadership & Management,Coursera (Gov Licence),2024-07-18,24,Completed,Passed
TRN-00043,MOEI-10011,Anti-Fraud Awareness,Compliance & Ethics,Mohammed Bin Rashid School of Government,,12,Enrolled,
TRN-00044,MOEI-10011,Power BI Essentials,Data Analytics,Mohammed Bin Rashid School of Government,,40,Enrolled,
TRN-00045,MOEI-10011,Arabic Business Writing,Language & Communication,External Vendor,2022-05-06,8,Completed,Passed
TRN-00046,MOEI-10011,Business English,Language & Communication,External Vendor,,4,Enrolled,
TRN-00047,MOEI-10013,Data-Driven Decision Making,Digital & AI,Mohammed Bin Rashid School of Government,2024-11-01,12,Completed,Passed
TRN-00048,MOEI-10013,Data Visualization,Data Analytics,MOEI Academy,,40,In Progress,
TRN-00049,MOEI-10013,Public Speaking,Language & Communication,Mohammed Bin Rashid School of Government,2022-11-06,8,Completed,Passed
TRN-00050,MOEI-10014,Agile Project Delivery,Project Management,MOEI Academy,2024-09-21,12,Completed,Passed
TRN-00051,MOEI-10014,Data-Driven Decision Making,Digital & AI,Federal Authority for Government HR,,16,Enrolled,
TRN-00052,MOEI-10014,Service Design Thinking,Customer Service,Federal Authority for Government HR,2024-11-18,8,Completed,Passed
TRN-00053,MOEI-10015,Code of Ethics Refresher,Compliance & Ethics,MOEI Academy,2025-08-08,4,Completed,Passed
TRN-00054,MOEI-10015,SQL for Beginners,Data Analytics,Coursera (Gov Licence),2024-03-27,40,Completed,Passed
TRN-00055,MOEI-10015,Maritime Safety Standards,Technical & Engineering,Coursera (Gov Licence),2024-02-17,16,Completed,Passed
TRN-00056,MOEI-10015,Government Budgeting,Finance & Procurement,MOEI Academy,,12,In Progress,
TRN-00057,MOEI-10015,Emergency Response,Health & Safety,External Vendor,2025-10-21,40,Completed,Passed
TRN-00058,MOEI-10016,Generative AI Foundations,Digital & AI,Mohammed Bin Rashid School of Government,2024-06-03,12,Completed,Passed
TRN-00059,MOEI-10017,Government Budgeting,Finance & Procurement,Coursera (Gov Licence),2023-06-07,16,Completed,Passed
TRN-00060,MOEI-10017,Risk Management Fundamentals,Project Management,Federal Authority for Government HR,2025-10-08,24,Completed,Passed
TRN-00061,MOEI-10017,Information Security Basics,Compliance & Ethics,Mohammed Bin Rashid School of Government,,24,Enrolled,
TRN-00062,MOEI-10018,Future Leaders Programme,Leadership & Management,External Vendor,2024-07-20,4,Completed,Passed
TRN-00063,MOEI-10019,Emergency Response,Health & Safety,Mohammed Bin Rashid School of Government,2023-03-26,8,Completed,Passed
TRN-00064,MOEI-10019,Future Leaders Programme,Leadership & Management,External Vendor,2025-06-22,40,Completed,Passed
TRN-00065,MOEI-10019,Risk Management Fundamentals,Project Management,MOEI Academy,2025-07-30,4,Completed,Passed
TRN-00066,MOEI-10020,Data-Driven Decision Making,Digital & AI,Mohammed Bin Rashid School of Government,2022-08-16,12,Completed,Passed
TRN-00067,MOEI-10020,Digital Transformation,Digital & AI,Mohammed Bin Rashid School of Government,2023-07-21,12,Completed,Passed
TRN-00068,MOEI-10020,Future Leaders Programme,Leadership & Management,MOEI Academy,2024-02-23,12,Completed,Passed
TRN-00069,MOEI-10020,Government Budgeting,Finance & Procurement,Federal Authority for Government HR,2024-06-21,24,Completed,Passed
TRN-00070,MOEI-10020,Applied AI for Government,Digital & AI,Coursera (Gov Licence),2022-10-22,8,Completed,Passed
TRN-00071,MOEI-10020,Generative AI Foundations,Digital & AI,Coursera (Gov Licence),2026-05-11,8,Completed,Passed
TRN-00072,MOEI-10021,Service Design Thinking,Customer Service,Coursera (Gov Licence),2022-11-07,24,Completed,Passed
TRN-00073,MOEI-10021,Strategic Decision Making,Leadership & Management,MOEI Academy,2024-09-06,24,Completed,Passed
TRN-00074,MOEI-10021,PMP Preparation,Project Management,Coursera (Gov Licence),,4,Enrolled,
TRN-00075,MOEI-10022,Future Leaders Programme,Leadership & Management,MOEI Academy,,12,Enrolled,
TRN-00076,MOEI-10022,Code of Ethics Refresher,Compliance & Ethics,Mohammed Bin Rashid School of Government,2024-07-30,40,Completed,Passed
TRN-00077,MOEI-10022,Digital Transformation,Digital & AI,Coursera (Gov Licence),2025-09-15,4,Completed,Passed
TRN-00078,MOEI-10022,Anti-Fraud Awareness,Compliance & Ethics,Coursera (Gov Licence),,40,In Progress,
TRN-00079,MOEI-10022,Business English,Language & Communication,External Vendor,2024-09-28,40,Completed,Passed
TRN-00080,MOEI-10023,Coaching for Managers,Leadership & Management,MOEI Academy,2024-04-09,16,Completed,Passed
TRN-00081,MOEI-10024,Risk Management Fundamentals,Project Management,External Vendor,2025-06-27,8,Completed,Passed
TRN-00082,MOEI-10025,Business English,Language & Communication,Federal Authority for Government HR,2022-05-28,16,Completed,Passed
TRN-00083,MOEI-10025,Strategic Decision Making,Leadership & Management,Federal Authority for Government HR,2025-06-20,4,Completed,Passed
TRN-00084,MOEI-10025,Power BI Essentials,Data Analytics,MOEI Academy,,16,In Progress,
TRN-00085,MOEI-10025,Applied AI for Government,Digital & AI,External Vendor,2024-10-15,8,Completed,Passed
TRN-00086,MOEI-10026,Agile Project Delivery,Project Management,Coursera (Gov Licence),,12,In Progress,
TRN-00087,MOEI-10027,Public Speaking,Language & Communication,Federal Authority for Government HR,2022-10-09,4,Completed,Passed
TRN-00088,MOEI-10028,Data Visualization,Data Analytics,Federal Authority for Government HR,2022-05-10,16,Completed,Passed
TRN-00089,MOEI-10028,Maritime Safety Standards,Technical & Engineering,External Vendor,2024-06-17,4,Completed,Passed
TRN-00090,MOEI-10028,Power BI Essentials,Data Analytics,Federal Authority for Government HR,2025-07-18,4,Completed,Passed
TRN-00091,MOEI-10028,Occupational Health & Safety,Health & Safety,MOEI Academy,2022-01-14,40,Completed,Passed
TRN-00092,MOEI-10029,Arabic Business Writing,Language & Communication,Coursera (Gov Licence),2024-05-02,40,Completed,Passed
TRN-00093,MOEI-10029,Advanced Excel for Analysts,Data Analytics,External Vendor,2022-10-21,16,Completed,Passed
TRN-00094,MOEI-10029,Customer Happiness Standards,Customer Service,MOEI Academy,2022-12-24,24,Completed,Passed
TRN-00095,MOEI-10029,SQL for Beginners,Data Analytics,Mohammed Bin Rashid School of Government,,12,Enrolled,
TRN-00096,MOEI-10029,Maritime Safety Standards,Technical & Engineering,External Vendor,2023-01-29,4,Completed,Passed
TRN-00097,MOEI-10030,Information Security Basics,Compliance & Ethics,Federal Authority for Government HR,2024-11-05,12,Completed,Passed
TRN-00098,MOEI-10030,Government Leadership Excellence,Leadership & Management,Coursera (Gov Licence),2022-08-19,16,Completed,Passed
TRN-00099,MOEI-10030,Advanced Excel for Analysts,Data Analytics,MOEI Academy,,40,Enrolled,
TRN-00100,MOEI-10030,Anti-Fraud Awareness,Compliance & Ethics,Mohammed Bin Rashid School of Government,2023-03-06,24,Completed,Passed
TRN-00101,MOEI-10030,Occupational Health & Safety,Health & Safety,External Vendor,2022-08-02,8,Completed,Passed
TRN-00102,MOEI-10031,Strategic Decision Making,Leadership & Management,Federal Authority for Government HR,2024-11-20,40,Completed,Passed
TRN-00103,MOEI-10031,Emergency Response,Health & Safety,Mohammed Bin Rashid School of Government,2024-05-08,8,Completed,Passed
TRN-00104,MOEI-10032,Code of Ethics Refresher,Compliance & Ethics,Coursera (Gov Licence),2024-11-21,8,Completed,Passed
TRN-00105,MOEI-10033,PMP Preparation,Project Management,MOEI Academy,2024-08-22,16,Completed,Passed
TRN-00106,MOEI-10033,Advanced Excel for Analysts,Data Analytics,Coursera (Gov Licence),2025-06-02,12,Completed,Passed
TRN-00107,MOEI-10033,SQL for Beginners,Data Analytics,Mohammed Bin Rashid School of Government,2026-01-14,12,Completed,Passed
TRN-00108,MOEI-10033,Agile Project Delivery,Project Management,External Vendor,2022-09-18,4,Completed,Passed
TRN-00109,MOEI-10034,Power BI Essentials,Data Analytics,Federal Authority for Government HR,2025-01-09,12,Completed,Passed
TRN-00110,MOEI-10034,Agile Project Delivery,Project Management,External Vendor,2025-10-19,8,Completed,Passed
TRN-00111,MOEI-10034,Public Speaking,Language & Communication,External Vendor,2023-09-14,16,Completed,Passed
TRN-00112,MOEI-10035,Arabic Business Writing,Language & Communication,Coursera (Gov Licence),2024-08-05,40,Completed,Passed
TRN-00113,MOEI-10035,PMP Preparation,Project Management,Federal Authority for Government HR,2023-11-02,24,Completed,Passed
TRN-00114,MOEI-10036,Business English,Language & Communication,MOEI Academy,,16,Enrolled,
TRN-00115,MOEI-10036,Maritime Safety Standards,Technical & Engineering,Coursera (Gov Licence),2024-05-21,40,Completed,Passed
TRN-00116,MOEI-10037,Emergency Response,Health & Safety,MOEI Academy,2023-05-08,40,Completed,Passed
TRN-00117,MOEI-10038,Data Visualization,Data Analytics,MOEI Academy,2024-03-04,4,Completed,Passed
TRN-00118,MOEI-10038,Strategic Decision Making,Leadership & Management,MOEI Academy,2025-09-18,16,Completed,Passed
TRN-00119,MOEI-10038,Digital Transformation,Digital & AI,MOEI Academy,2026-01-25,16,Completed,Passed
TRN-00120,MOEI-10038,Information Security Basics,Compliance & Ethics,Mohammed Bin Rashid School of Government,2022-09-12,40,Completed,Passed
TRN-00121,MOEI-10038,Energy Systems,Technical & Engineering,MOEI Academy,2023-09-05,24,Completed,Passed
TRN-00122,MOEI-10038,Coaching for Managers,Leadership & Management,Mohammed Bin Rashid School of Government,2022-10-21,16,Completed,Passed
TRN-00123,MOEI-10038,Anti-Fraud Awareness,Compliance & Ethics,MOEI Academy,2023-07-01,24,Completed,Passed
TRN-00124,MOEI-10038,PMP Preparation,Project Management,MOEI Academy,2024-05-23,40,Completed,Passed
TRN-00125,MOEI-10038,Data-Driven Decision Making,Digital & AI,Mohammed Bin Rashid School of Government,2023-10-12,24,Completed,Passed
TRN-00126,MOEI-10038,Government Budgeting,Finance & Procurement,Coursera (Gov Licence),2022-11-14,16,Completed,Passed
TRN-00127,MOEI-10039,Energy Systems,Technical & Engineering,Coursera (Gov Licence),,24,In Progress,
TRN-00128,MOEI-10039,Information Security Basics,Compliance & Ethics,MOEI Academy,,8,In Progress,
TRN-00129,MOEI-10039,Occupational Health & Safety,Health & Safety,Federal Authority for Government HR,2022-06-14,12,Completed,Passed
TRN-00130,MOEI-10039,Applied AI for Government,Digital & AI,Federal Authority for Government HR,2022-12-04,16,Completed,Passed
TRN-00131,MOEI-10039,Advanced Excel for Analysts,Data Analytics,MOEI Academy,,12,Enrolled,
TRN-00132,MOEI-10039,Customer Happiness Standards,Customer Service,Coursera (Gov Licence),2024-08-28,40,Completed,Passed
TRN-00133,MOEI-10040,Government Leadership Excellence,Leadership & Management,Coursera (Gov Licence),2024-11-30,24,Completed,Passed
TRN-00134,MOEI-10040,Generative AI Foundations,Digital & AI,External Vendor,2024-09-22,24,Completed,Passed
TRN-00135,MOEI-10040,Government Budgeting,Finance & Procurement,Mohammed Bin Rashid School of Government,2023-06-17,12,Completed,Passed
TRN-00136,MOEI-10040,Data Visualization,Data Analytics,Federal Authority for Government HR,,8,Enrolled,
TRN-00137,MOEI-10040,Coaching for Managers,Leadership & Management,Mohammed Bin Rashid School of Government,2025-03-22,12,Completed,Passed
TRN-00138,MOEI-10040,Applied AI for Government,Digital & AI,Mohammed Bin Rashid School of Government,2025-09-25,8,Completed,Passed
TRN-00139,MOEI-10041,Occupational Health & Safety,Health & Safety,MOEI Academy,2026-03-17,16,Completed,Passed
TRN-00140,MOEI-10041,Emergency Response,Health & Safety,External Vendor,2024-02-03,24,Completed,Passed
TRN-00141,MOEI-10042,Public Procurement Rules,Finance & Procurement,External Vendor,,40,Enrolled,
TRN-00142,MOEI-10042,SQL for Beginners,Data Analytics,Coursera (Gov Licence),2026-04-02,4,Completed,Passed
TRN-00143,MOEI-10042,Power BI Essentials,Data Analytics,External Vendor,2026-03-25,8,Completed,Passed
TRN-00144,MOEI-10043,Code of Ethics Refresher,Compliance & Ethics,Federal Authority for Government HR,2023-10-31,24,Completed,Passed
TRN-00145,MOEI-10043,Maritime Safety Standards,Technical & Engineering,Mohammed Bin Rashid School of Government,,8,Enrolled,
TRN-00146,MOEI-10043,Future Leaders Programme,Leadership & Management,MOEI Academy,,24,In Progress,
TRN-00147,MOEI-10043,Customer Happiness Standards,Customer Service,External Vendor,2024-10-01,24,Completed,Passed
TRN-00148,MOEI-10044,Anti-Fraud Awareness,Compliance & Ethics,Coursera (Gov Licence),2023-12-11,12,Completed,Passed
TRN-00149,MOEI-10045,Code of Ethics Refresher,Compliance & Ethics,Mohammed Bin Rashid School of Government,2023-08-06,16,Completed,Passed
TRN-00150,MOEI-10045,Maritime Safety Standards,Technical & Engineering,Coursera (Gov Licence),2023-03-18,40,Completed,Passed
TRN-00151,MOEI-10045,Service Design Thinking,Customer Service,Coursera (Gov Licence),2023-08-15,40,Completed,Passed
TRN-00152,MOEI-10045,Customer Happiness Standards,Customer Service,Federal Authority for Government HR,2025-04-17,8,Completed,Passed
TRN-00153,MOEI-10046,Emergency Response,Health & Safety,External Vendor,,16,Enrolled,
TRN-00154,MOEI-10046,Applied AI for Government,Digital & AI,Mohammed Bin Rashid School of Government,2024-11-29,16,Completed,Passed
TRN-00155,MOEI-10046,SQL for Beginners,Data Analytics,Federal Authority for Government HR,2025-10-20,8,Completed,Passed
TRN-00156,MOEI-10047,Service Design Thinking,Customer Service,Mohammed Bin Rashid School of Government,2025-02-08,24,Completed,Passed
TRN-00157,MOEI-10047,Public Procurement Rules,Finance & Procurement,Federal Authority for Government HR,2025-02-19,4,Completed,Passed
TRN-00158,MOEI-10048,Data Visualization,Data Analytics,Coursera (Gov Licence),,4,Enrolled,
TRN-00159,MOEI-10049,Public Procurement Rules,Finance & Procurement,Federal Authority for Government HR,2023-01-03,4,Completed,Passed
TRN-00160,MOEI-10049,Generative AI Foundations,Digital & AI,MOEI Academy,,24,Enrolled,
TRN-00161,MOEI-10049,Information Security Basics,Compliance & Ethics,Mohammed Bin Rashid School of Government,2024-09-11,40,Completed,Passed
TRN-00162,MOEI-10049,Occupational Health & Safety,Health & Safety,External Vendor,2024-02-04,4,Completed,Passed
TRN-00163,MOEI-10049,Government Budgeting,Finance & Procurement,Mohammed Bin Rashid School of Government,2025-04-06,16,Completed,Passed
TRN-00164,MOEI-10049,Data Visualization,Data Analytics,Mohammed Bin Rashid School of Government,2022-12-01,16,Completed,Passed
TRN-00165,MOEI-10050,Code of Ethics Refresher,Compliance & Ethics,MOEI Academy,2024-10-29,24,Completed,Passed
TRN-00166,MOEI-10050,Risk Management Fundamentals,Project Management,External Vendor,2024-07-12,8,Completed,Passed
TRN-00167,MOEI-10050,Infrastructure Asset Management,Technical & Engineering,Mohammed Bin Rashid School of Government,,12,In Progress,
TRN-00168,MOEI-10050,Energy Systems,Technical & Engineering,MOEI Academy,,8,In Progress,
TRN-00169,MOEI-10051,Emergency Response,Health & Safety,Federal Authority for Government HR,,4,Enrolled,
TRN-00170,MOEI-10051,PMP Preparation,Project Management,Federal Authority for Government HR,2024-10-27,24,Completed,Passed
TRN-00171,MOEI-10051,Public Speaking,Language & Communication,External Vendor,,40,In Progress,
TRN-00172,MOEI-10052,Service Design Thinking,Customer Service,Federal Authority for Government HR,2022-06-06,4,Completed,Passed
TRN-00173,MOEI-10053,Anti-Fraud Awareness,Compliance & Ethics,Coursera (Gov Licence),2025-11-16,24,Completed,Passed
TRN-00174,MOEI-10053,Infrastructure Asset Management,Technical & Engineering,MOEI Academy,2022-12-19,40,Completed,Passed
TRN-00175,MOEI-10053,Data-Driven Decision Making,Digital & AI,Federal Authority for Government HR,,40,In Progress,
TRN-00176,MOEI-10053,Agile Project Delivery,Project Management,MOEI Academy,2022-09-14,16,Completed,Passed
TRN-00177,MOEI-10054,Applied AI for Government,Digital & AI,Coursera (Gov Licence),2022-02-08,4,Completed,Passed
TRN-00178,MOEI-10054,PMP Preparation,Project Management,External Vendor,2022-03-09,24,Completed,Passed
TRN-00179,MOEI-10054,Strategic Decision Making,Leadership & Management,MOEI Academy,,4,In Progress,
TRN-00180,MOEI-10054,Financial Reporting,Finance & Procurement,MOEI Academy,2022-01-22,24,Completed,Passed
TRN-00181,MOEI-10054,Risk Management Fundamentals,Project Management,Mohammed Bin Rashid School of Government,2023-02-14,4,Completed,Passed
TRN-00182,MOEI-10054,Data-Driven Decision Making,Digital & AI,External Vendor,,12,Enrolled,
TRN-00183,MOEI-10055,Advanced Excel for Analysts,Data Analytics,MOEI Academy,2024-10-31,24,Completed,Passed
TRN-00184,MOEI-10055,Government Leadership Excellence,Leadership & Management,Mohammed Bin Rashid School of Government,2026-01-05,8,Completed,Passed
TRN-00185,MOEI-10055,Maritime Safety Standards,Technical & Engineering,Federal Authority for Government HR,2026-01-25,24,Completed,Passed
TRN-00186,MOEI-10056,Emergency Response,Health & Safety,Coursera (Gov Licence),2025-11-30,40,Completed,Passed
TRN-00187,MOEI-10056,Data-Driven Decision Making,Digital & AI,Coursera (Gov Licence),,8,Enrolled,
TRN-00188,MOEI-10056,Maritime Safety Standards,Technical & Engineering,Mohammed Bin Rashid School of Government,2024-04-14,4,Completed,Passed
TRN-00189,MOEI-10056,Occupational Health & Safety,Health & Safety,Mohammed Bin Rashid School of Government,2024-11-30,40,Completed,Passed
TRN-00190,MOEI-10056,Financial Reporting,Finance & Procurement,Mohammed Bin Rashid School of Government,2026-01-18,16,Completed,Passed
TRN-00191,MOEI-10056,Digital Transformation,Digital & AI,Mohammed Bin Rashid School of Government,2023-08-04,40,Completed,Passed
TRN-00192,MOEI-10057,Risk Management Fundamentals,Project Management,Coursera (Gov Licence),2024-11-25,8,Completed,Passed
TRN-00193,MOEI-10057,Digital Transformation,Digital & AI,Coursera (Gov Licence),2024-09-04,40,Completed,Passed
TRN-00194,MOEI-10057,Occupational Health & Safety,Health & Safety,Coursera (Gov Licence),2023-04-15,40,Completed,Passed
TRN-00195,MOEI-10058,Data-Driven Decision Making,Digital & AI,Federal Authority for Government HR,2023-07-31,12,Completed,Passed
TRN-00196,MOEI-10058,Risk Management Fundamentals,Project Management,Coursera (Gov Licence),2025-06-25,40,Completed,Passed
TRN-00197,MOEI-10058,Emergency Response,Health & Safety,Coursera (Gov Licence),2024-09-30,12,Completed,Passed
TRN-00198,MOEI-10059,Occupational Health & Safety,Health & Safety,Coursera (Gov Licence),2022-09-08,8,Completed,Passed
TRN-00199,MOEI-10059,Power BI Essentials,Data Analytics,MOEI Academy,2022-07-23,16,Completed,Passed
TRN-00200,MOEI-10060,Government Leadership Excellence,Leadership & Management,Mohammed Bin Rashid School of Government,2024-02-23,8,Completed,Passed
TRN-00201,MOEI-10060,Financial Reporting,Finance & Procurement,MOEI Academy,2025-06-30,40,Completed,Passed
TRN-00202,MOEI-10060,Infrastructure Asset Management,Technical & Engineering,Coursera (Gov Licence),2024-08-12,16,Completed,Passed
TRN-00203,MOEI-10060,Energy Systems,Technical & Engineering,MOEI Academy,,16,Enrolled,
TRN-00204,MOEI-10061,Service Design Thinking,Customer Service,Coursera (Gov Licence),,16,In Progress,
TRN-00205,MOEI-10062,Generative AI Foundations,Digital & AI,Coursera (Gov Licence),2025-12-17,8,Completed,Passed
TRN-00206,MOEI-10062,Future Leaders Programme,Leadership & Management,External Vendor,2025-03-11,40,Completed,Passed
TRN-00207,MOEI-10062,Emergency Response,Health & Safety,External Vendor,,4,In Progress,
TRN-00208,MOEI-10062,Strategic Decision Making,Leadership & Management,Mohammed Bin Rashid School of Government,2025-06-17,12,Completed,Passed
TRN-00209,MOEI-10063,Future Leaders Programme,Leadership & Management,Mohammed Bin Rashid School of Government,,40,In Progress,
TRN-00210,MOEI-10064,Coaching for Managers,Leadership & Management,Mohammed Bin Rashid School of Government,2026-04-01,12,Completed,Passed
TRN-00211,MOEI-10064,Service Design Thinking,Customer Service,Federal Authority for Government HR,2025-10-17,8,Completed,Passed
TRN-00212,MOEI-10064,Financial Reporting,Finance & Procurement,MOEI Academy,,12,In Progress,
TRN-00213,MOEI-10064,Generative AI Foundations,Digital & AI,Mohammed Bin Rashid School of Government,2025-12-14,4,Completed,Passed
TRN-00214,MOEI-10064,Emergency Response,Health & Safety,Coursera (Gov Licence),2026-04-22,24,Completed,Passed
TRN-00215,MOEI-10065,Anti-Fraud Awareness,Compliance & Ethics,External Vendor,2025-04-25,4,Completed,Passed
TRN-00216,MOEI-10066,Data-Driven Decision Making,Digital & AI,Mohammed Bin Rashid School of Government,2023-11-20,8,Completed,Passed
TRN-00217,MOEI-10066,Arabic Business Writing,Language & Communication,Federal Authority for Government HR,,16,Enrolled,
TRN-00218,MOEI-10066,Public Procurement Rules,Finance & Procurement,External Vendor,2022-04-08,16,Completed,Passed
TRN-00219,MOEI-10067,Public Speaking,Language & Communication,External Vendor,2023-10-31,4,Completed,Passed
TRN-00220,MOEI-10067,Arabic Business Writing,Language & Communication,External Vendor,2024-11-05,16,Completed,Passed
TRN-00221,MOEI-10068,Agile Project Delivery,Project Management,Mohammed Bin Rashid School of Government,2022-06-07,24,Completed,Passed
TRN-00222,MOEI-10068,Public Procurement Rules,Finance & Procurement,Federal Authority for Government HR,2025-09-20,16,Completed,Passed
TRN-00223,MOEI-10068,Service Design Thinking,Customer Service,External Vendor,2025-07-03,8,Completed,Passed
TRN-00224,MOEI-10068,Government Leadership Excellence,Leadership & Management,Coursera (Gov Licence),2025-03-27,12,Completed,Passed
TRN-00225,MOEI-10069,Energy Systems,Technical & Engineering,MOEI Academy,,24,Enrolled,
TRN-00226,MOEI-10069,Agile Project Delivery,Project Management,Federal Authority for Government HR,2026-05-04,40,Completed,Passed
TRN-00227,MOEI-10069,Public Procurement Rules,Finance & Procurement,MOEI Academy,2026-04-21,40,Completed,Passed
TRN-00228,MOEI-10070,Service Design Thinking,Customer Service,Mohammed Bin Rashid School of Government,2023-08-11,40,Completed,Passed
TRN-00229,MOEI-10070,Business English,Language & Communication,Federal Authority for Government HR,2024-04-11,8,Completed,Passed
TRN-00230,MOEI-10071,Public Procurement Rules,Finance & Procurement,Coursera (Gov Licence),2024-09-21,16,Completed,Passed
TRN-00231,MOEI-10071,Government Leadership Excellence,Leadership & Management,MOEI Academy,2022-11-23,12,Completed,Passed
TRN-00232,MOEI-10071,Financial Reporting,Finance & Procurement,MOEI Academy,2025-02-01,40,Completed,Passed
TRN-00233,MOEI-10071,Future Leaders Programme,Leadership & Management,MOEI Academy,2023-10-05,16,Completed,Passed
TRN-00234,MOEI-10071,Digital Transformation,Digital & AI,Federal Authority for Government HR,,4,In Progress,
TRN-00235,MOEI-10072,Maritime Safety Standards,Technical & Engineering,External Vendor,2024-12-04,24,Completed,Passed
TRN-00236,MOEI-10072,Public Procurement Rules,Finance & Procurement,MOEI Academy,2022-07-04,12,Completed,Passed
TRN-00237,MOEI-10072,Information Security Basics,Compliance & Ethics,Federal Authority for Government HR,2026-02-18,16,Completed,Passed
TRN-00238,MOEI-10072,PMP Preparation,Project Management,Mohammed Bin Rashid School of Government,2022-08-07,16,Completed,Passed
