employee_id,leave_type,year,entitled_days,taken_days,balance_days
MOEI-10056,Sick,2026,15,1,14
MOEI-10057,Annual,2026,30,15,15
MOEI-10057,Sick,2026,15,2,13
MOEI-10058,Annual,2026,22,1,21
MOEI-10058,Sick,2026,15,1,14
MOEI-10058,Study,2026,10,10,0
MOEI-10059,Annual,2026,25,11,14
MOEI-10059,Sick,2026,15,6,9
MOEI-10060,Annual,2026,25,25,0
MOEI-10060,Sick,2026,15,3,12
MOEI-10060,Parental,2026,5,1,4
MOEI-10061,Annual,2026,25,17,8
MOEI-10061,Sick,2026,15,6,9
MOEI-10062,Annual,2026,25,23,2
MOEI-10062,Sick,2026,15,0,15
MOEI-10063,Annual,2026,25,1,24
MOEI-10063,Sick,2026,15,6,9
MOEI-10064,Annual,2026,25,22,3
MOEI-10064,Sick,2026,15,2,13
MOEI-10065,Annual,2026,25,13,12
MOEI-10065,Sick,2026,15,2,13
MOEI-10065,Parental,2026,15,11,4
MOEI-10066,Annual,2026,25,6,19
MOEI-10066,Sick,2026,15,5,10
MOEI-10067,Annual,2026,25,1,24
MOEI-10067,Sick,2026,15,3,12
MOEI-10068,Annual,2026,25,18,7
MOEI-10068,Sick,2026,15,0,15
MOEI-10069,Annual,2026,30,23,7
MOEI-10069,Sick,2026,15,0,15
MOEI-10070,Annual,2026,25,0,25
MOEI-10070,Sick,2026,15,3,12
MOEI-10071,Annual,2026,30,2,28
MOEI-10071,Sick,2026,15,0,15
MOEI-10072,Annual,2026,30,5,25
MOEI-10072,Sick,2026,15,4,11
MOEI-10072,Hajj,2026,10,4,6
MOEI-10073,Annual,2026,22,4,18
MOEI-10073,Sick,2026,15,6,9
MOEI-10074,Annual,2026,25,3,22
MOEI-10074,Sick,2026,15,1,14
MOEI-10074,Study,2026,10,7,3
MOEI-10075,Annual,2026,25,22,3
MOEI-10075,Sick,2026,15,5,10
MOEI-10076,Annual,2026,25,7,18
MOEI-10076,Sick,2026,15,7,8
MOEI-10077,Annual,2026,25,11,14
MOEI-10077,Sick,2026,15,4,11
MOEI-10078,Annual,2026,25,7,18
MOEI-10078,Sick,2026,15,4,11
MOEI-10079,Annual,2026,25,17,8
MOEI-10079,Sick,2026,15,1,14
MOEI-10079,Hajj,2026,20,8,12
MOEI-10080,Annual,2026,25,2,23
MOEI-10080,Sick,2026,15,3,12
MOEI-10081,Annual,2026,25,16,9
MOEI-10081,Sick,2026,15,3,12
MOEI-10082,Annual,2026,25,17,8
MOEI-10082,Sick,2026,15,3,12
MOEI-10083,Annual,2026,30,23,7
MOEI-10083,Sick,2026,15,2,13
MOEI-10083,Parental,2026,20,20,0
MOEI-10084,Annual,2026,30,24,6
MOEI-10084,Sick,2026,15,7,8
MOEI-10085,Annual,2026,30,0,30
MOEI-10085,Sick,2026,15,7,8
MOEI-10086,Annual,2026,25,8,17
MOEI-10086,Sick,2026,15,4,11
MOEI-10087,Annual,2026,30,9,21
MOEI-10087,Sick,2026,15,1,14
MOEI-10087,Study,2026,20,15,5
MOEI-10088,Annual,2026,25,0,25
MOEI-10088,Sick,2026,15,6,9
MOEI-10089,Annual,2026,30,1,29
MOEI-10089,Sick,2026,15,3,12
MOEI-10090,Annual,2026,30,5,25
MOEI-10090,Sick,2026,15,6,9
MOEI-10091,Annual,2026,25,21,4
MOEI-10091,Sick,2026,15,4,11
MOEI-10091,Hajj,2026,5,4,1
MOEI-10092,Annual,2026,25,24,1
MOEI-10092,Sick,2026,15,5,10
MOEI-10093,Annual,2026,25,8,17
MOEI-10093,Sick,2026,15,3,12
MOEI-10094,Annual,2026,22,10,12
MOEI-10094,Sick,2026,15,6,9
MOEI-10095,Annual,2026,22,1,21
MOEI-10095,Sick,2026,15,1,14
MOEI-10096,Annual,2026,25,23,2
MOEI-10096,Sick,2026,15,4,11
MOEI-10097,Annual,2026,25,17,8
MOEI-10097,Sick,2026,15,7,8
MOEI-10098,Annual,2026,25,23,2
MOEI-10098,Sick,2026,15,4,11
MOEI-10099,Annual,2026,25,12,13
MOEI-10099,Sick,2026,15,7,8
MOEI-10100,Annual,2026,22,7,15
MOEI-10100,Sick,2026,15,2,13
MOEI-10101,Annual,2026,25,8,17
MOEI-10101,Sick,2026,15,4,11
MOEI-10101,Parental,2026,15,10,5
MOEI-10102,Annual,2026,25,18,7
MOEI-10102,Sick,2026,15,6,9
MOEI-10102,Hajj,2026,15,8,7
MOEI-10103,Annual,2026,25,21,4
MOEI-10103,Sick,2026,15,4,11
MOEI-10104,Annual,2026,25,25,0
MOEI-10104,Sick,2026,15,0,15
MOEI-10105,Annual,2026,25,18,7
MOEI-10105,Sick,2026,15,5,10
MOEI-10106,Annual,2026,25,5,20
MOEI-10106,Sick,2026,15,7,8
MOEI-10107,Annual,2026,25,14,11
MOEI-10107,Sick,2026,15,0,15
MOEI-10108,Annual,2026,30,30,0
MOEI-10108,Sick,2026,15,5,10
MOEI-10109,Annual,2026,25,17,8
MOEI-10109,Sick,2026,15,3,12
MOEI-10110,Annual,2026,22,18,4
MOEI-10110,Sick,2026,15,1,14
MOEI-10111,Annual,2026,25,19,6
MOEI-10111,Sick,2026,15,5,10
MOEI-10112,Annual,2026,25,14,11
MOEI-10112,Sick,2026,15,2,13
MOEI-10113,Annual,2026,25,25,0
MOEI-10113,Sick,2026,15,4,11
MOEI-10114,Annual,2026,25,15,10
MOEI-10114,Sick,2026,15,2,13
MOEI-10115,Annual,2026,25,5,20
MOEI-10115,Sick,2026,15,2,13
MOEI-10116,Annual,2026,25,20,5
MOEI-10116,Sick,2026,15,0,15
MOEI-10117,Annual,2026,25,20,5
MOEI-10117,Sick,2026,15,0,15
MOEI-10118,Annual,2026,25,16,9
MOEI-10118,Sick,2026,15,7,8
MOEI-10119,Annual,2026,30,1,29
MOEI-10119,Sick,2026,15,3,12
MOEI-10119,Study,2026,15,8,7
MOEI-10120,Annual,2026,25,0,25
MOEI-10120,Sick,2026,15,5,10
MOEI-10121,Annual,2026,25,1,24
MOEI-10121,Sick,2026,15,3,12
MOEI-10122,Annual,2026,25,2,23
MOEI-10122,Sick,2026,15,7,8
MOEI-10122,Parental,2026,10,3,7
MOEI-10123,Annual,2026,25,10,15
MOEI-10123,Sick,2026,15,5,10
MOEI-10124,Annual,2026,25,21,4
MOEI-10124,Sick,2026,15,6,9
MOEI-10124,Hajj,2026,15,4,11
MOEI-10125,Annual,2026,22,0,22
MOEI-10125,Sick,2026,15,5,10
MOEI-10126,Annual,2026,22,11,11
MOEI-10126,Sick,2026,15,5,10
MOEI-10127,Annual,2026,25,20,5
MOEI-10127,Sick,2026,15,5,10
MOEI-10128,Annual,2026,30,9,21
MOEI-10128,Sick,2026,15,0,15
MOEI-10129,Annual,2026,30,1,29
MOEI-10129,Sick,2026,15,4,11
MOEI-10130,Annual,2026,25,18,7
MOEI-10130,Sick,2026,15,0,15
MOEI-10130,Parental,2026,15,11,4
MOEI-10131,Annual,2026,30,30,0
MOEI-10131,Sick,2026,15,3,12
MOEI-10132,Annual,2026,25,18,7
MOEI-10132,Sick,2026,15,0,15
MOEI-10133,Annual,2026,25,4,21
MOEI-10133,Sick,2026,15,6,9
MOEI-10134,Annual,2026,30,20,10
MOEI-10134,Sick,2026,15,1,14
MOEI-10135,Annual,2026,25,7,18
MOEI-10135,Sick,2026,15,6,9
MOEI-10136,Annual,2026,25,3,22
MOEI-10136,Sick,2026,15,0,15
MOEI-10137,Annual,2026,25,21,4
MOEI-10137,Sick,2026,15,7,8
MOEI-10138,Annual,2026,25,6,19
MOEI-10138,Sick,2026,15,4,11
MOEI-10139,Annual,2026,25,10,15
MOEI-10139,Sick,2026,15,3,12
MOEI-10140,Annual,2026,30,11,19
MOEI-10140,Sick,2026,15,3,12
MOEI-10141,Annual,2026,25,23,2
MOEI-10141,Sick,2026,15,1,14
MOEI-10142,Annual,2026,22,14,8
MOEI-10142,Sick,2026,15,6,9
MOEI-10143,Annual,2026,22,11,11
MOEI-10143,Sick,2026,15,1,14
MOEI-10144,Annual,2026,25,20,5
MOEI-10144,Sick,2026,15,7,8
MOEI-10145,Annual,2026,25,14,11
MOEI-10145,Sick,2026,15,6,9
MOEI-10146,Annual,2026,25,4,21
MOEI-10146,Sick,2026,15,3,12
MOEI-10147,Annual,2026,25,13,12
MOEI-10147,Sick,2026,15,2,13
MOEI-10148,Annual,2026,30,25,5
MOEI-10148,Sick,2026,15,4,11
MOEI-10149,Annual,2026,25,3,22
MOEI-10149,Sick,2026,15,1,14
MOEI-10150,Annual,2026,30,16,14
MOEI-10150,Sick,2026,15,2,13
MOEI-10151,Annual,2026,25,20,5
MOEI-10151,Sick,2026,15,3,12
MOEI-10152,Annual,2026,25,14,11
MOEI-10152,Sick,2026,15,0,15
MOEI-10153,Annual,2026,25,13,12
MOEI-10153,Sick,2026,15,4,11
MOEI-10154,Annual,2026,25,22,3
MOEI-10154,Sick,2026,15,7,8
MOEI-10155,Annual,2026,30,4,26
MOEI-10155,Sick,2026,15,0,15
MOEI-10156,Annual,2026,25,0,25
MOEI-10156,Sick,2026,15,2,13
MOEI-10157,Annual,2026,25,4,21
MOEI-10157,Sick,2026,15,6,9
MOEI-10158,Annual,2026,25,11,14
MOEI-10158,Sick,2026,15,2,13
MOEI-10159,Annual,2026,30,17,13
MOEI-10159,Sick,2026,15,3,12
MOEI-10160,Annual,2026,25,3,22
MOEI-10160,Sick,2026,15,5,10
MOEI-10161,Annual,2026,25,10,15
MOEI-10161,Sick,2026,15,1,14
MOEI-10162,Annual,2026,22,1,21
MOEI-10162,Sick,2026,15,1,14
MOEI-10163,Annual,2026,25,11,14
MOEI-10163,Sick,2026,15,7,8
MOEI-10164,Annual,2026,25,20,5
MOEI-10164,Sick,2026,15,7,8
MOEI-10165,Annual,2026,25,13,12
MOEI-10165,Sick,2026,15,4,11
MOEI-10166,Annual,2026,30,22,8
MOEI-10166,Sick,2026,15,2,13
MOEI-10167,Annual,2026,22,18,4
MOEI-10167,Sick,2026,15,1,14
MOEI-10168,Annual,2026,25,0,25
MOEI-10168,Sick,2026,15,5,10
MOEI-10169,Annual,2026,30,14,16
MOEI-10169,Sick,2026,15,6,9
MOEI-10170,Annual,2026,22,5,17
MOEI-10170,Sick,2026,15,4,11
MOEI-10171,Annual,2026,25,3,22
MOEI-10171,Sick,2026,15,3,12
MOEI-10172,Annual,2026,22,10,12
MOEI-10172,Sick,2026,15,0,15
MOEI-10173,Annual,2026,25,16,9
MOEI-10173,Sick,2026,15,6,9
MOEI-10174,Annual,2026,25,12,13
MOEI-10174,Sick,2026,15,5,10
MOEI-10175,Annual,2026,25,4,21
MOEI-10175,Sick,2026,15,0,15
MOEI-10176,Annual,2026,30,23,7
MOEI-10176,Sick,2026,15,3,12
MOEI-10177,Annual,2026,25,8,17
MOEI-10177,Sick,2026,15,5,10
MOEI-10177,Hajj,2026,10,1,9
MOEI-10178,Annual,2026,25,9,16
MOEI-10178,Sick,2026,15,4,11
MOEI-10179,Annual,2026,25,7,18
MOEI-10179,Sick,2026,15,2,13
MOEI-10180,Annual,2026,25,8,17
MOEI-10180,Sick,2026,15,1,14
MOEI-10181,Annual,2026,25,21,4
MOEI-10181,Sick,2026,15,4,11
MOEI-10182,Annual,2026,30,6,24
MOEI-10182,Sick,2026,15,2,13
MOEI-10182,Parental,2026,10,0,10
MOEI-10183,Annual,2026,30,15,15
MOEI-10183,Sick,2026,15,0,15
MOEI-10184,Annual,2026,25,9,16
MOEI-10184,Sick,2026,15,6,9
MOEI-10185,Annual,2026,25,16,9
MOEI-10185,Sick,2026,15,2,13
MOEI-10186,Annual,2026,25,9,16
MOEI-10186,Sick,2026,15,1,14
MOEI-10187,Annual,2026,25,3,22
MOEI-10187,Sick,2026,15,7,8
MOEI-10188,Annual,2026,25,15,10
MOEI-10188,Sick,2026,15,4,11
MOEI-10188,Parental,2026,15,3,12
MOEI-10189,Annual,2026,30,30,0
MOEI-10189,Sick,2026,15,5,10
MOEI-10190,Annual,2026,30,23,7
MOEI-10190,Sick,2026,15,3,12
MOEI-10191,Annual,2026,22,10,12
MOEI-10191,Sick,2026,15,2,13
MOEI-10192,Annual,2026,25,8,17
MOEI-10192,Sick,2026,15,7,8
MOEI-10193,Annual,2026,30,16,14
MOEI-10193,Sick,2026,15,1,14
MOEI-10194,Annual,2026,25,10,15
MOEI-10194,Sick,2026,15,0,15
MOEI-10195,Annual,2026,25,22,3
MOEI-10195,Sick,2026,15,5,10
MOEI-10196,Annual,2026,22,17,5
MOEI-10196,Sick,2026,15,0,15
MOEI-10197,Annual,2026,22,20,2
MOEI-10197,Sick,2026,15,0,15
MOEI-10198,Annual,2026,25,18,7
MOEI-10198,Sick,2026,15,6,9
MOEI-10199,Annual,2026,30,7,23
MOEI-10199,Sick,2026,15,3,12
MOEI-10200,Annual,2026,25,4,21
MOEI-10200,Sick,2026,15,7,8
MOEI-10201,Annual,2026,22,15,7
MOEI-10201,Sick,2026,15,4,11
MOEI-10202,Annual,2026,22,20,2
MOEI-10202,Sick,2026,15,1,14
MOEI-10203,Annual,2026,25,23,2
MOEI-10203,Sick,2026,15,3,12
MOEI-10203,Parental,2026,20,17,3
MOEI-10204,Annual,2026,25,19,6
MOEI-10204,Sick,2026,15,3,12
MOEI-10205,Annual,2026,25,1,24
MOEI-10205,Sick,2026,15,6,9
MOEI-10206,Annual,2026,25,19,6
MOEI-10206,Sick,2026,15,6,9
MOEI-10207,Annual,2026,25,7,18
MOEI-10207,Sick,2026,15,5,10
MOEI-10208,Annual,2026,25,21,4
MOEI-10208,Sick,2026,15,2,13
MOEI-10209,Annual,2026,25,7,18
MOEI-10209,Sick,2026,15,4,11
MOEI-10210,Annual,2026,25,15,10
MOEI-10210,Sick,2026,15,6,9
MOEI-10211,Annual,2026,25,17,8
MOEI-10211,Sick,2026,15,7,8
MOEI-10212,Annual,2026,30,7,23
MOEI-10212,Sick,2026,15,1,14
MOEI-10213,Annual,2026,30,28,2
MOEI-10213,Sick,2026,15,4,11
MOEI-10214,Annual,2026,25,14,11
MOEI-10214,Sick,2026,15,5,10
MOEI-10215,Annual,2026,25,13,12
MOEI-10215,Sick,2026,15,1,14
MOEI-10216,Annual,2026,25,10,15
MOEI-10216,Sick,2026,15,1,14
MOEI-10217,Annual,2026,30,12,18
MOEI-10217,Sick,2026,15,2,13
MOEI-10218,Annual,2026,25,15,10
MOEI-10218,Sick,2026,15,7,8
MOEI-10219,Annual,2026,25,21,4
MOEI-10219,Sick,2026,15,3,12
MOEI-10219,Hajj,2026,10,6,4
MOEI-10220,Annual,2026,30,1,29
MOEI-10220,Sick,2026,15,5,10
MOEI-10221,Annual,2026,25,10,15
MOEI-10221,Sick,2026,15,6,9
MOEI-10222,Annual,2026,25,14,11
MOEI-10222,Sick,2026,15,6,9
MOEI-10223,Annual,2026,25,1,24
MOEI-10223,Sick,2026,15,4,11
MOEI-10224,Annual,2026,25,7,18
MOEI-10224,Sick,2026,15,5,10
MOEI-10225,Annual,2026,25,1,24
MOEI-10225,Sick,2026,15,4,11
MOEI-10226,Annual,2026,30,7,23
MOEI-10226,Sick,2026,15,2,13
MOEI-10227,Annual,2026,25,24,1
MOEI-10227,Sick,2026,15,1,14
MOEI-10228,Annual,2026,22,19,3
MOEI-10228,Sick,2026,15,5,10
MOEI-10229,Annual,2026,25,17,8
MOEI-10229,Sick,2026,15,0,15
MOEI-10230,Annual,2026,25,0,25
MOEI-10230,Sick,2026,15,6,9
MOEI-10230,Study,2026,15,11,4
MOEI-10231,Annual,2026,25,24,1
MOEI-10231,Sick,2026,15,1,14
MOEI-10232,Annual,2026,30,16,14
MOEI-10232,Sick,2026,15,3,12
MOEI-10233,Annual,2026,22,6,16
MOEI-10233,Sick,2026,15,2,13
MOEI-10234,Annual,2026,25,12,13
MOEI-10234,Sick,2026,15,3,12
MOEI-10235,Annual,2026,25,5,20
MOEI-10235,Sick,2026,15,5,10
MOEI-10236,Annual,2026,30,6,24
MOEI-10236,Sick,2026,15,3,12
MOEI-10237,Annual,2026,30,1,29
MOEI-10237,Sick,2026,15,0,15
MOEI-10238,Annual,2026,22,16,6
MOEI-10238,Sick,2026,15,1,14
MOEI-10239,Annual,2026,25,25,0
MOEI-10239,Sick,2026,15,7,8
MOEI-10239,Hajj,2026,15,0,15
MOEI-10240,Annual,2026,22,7,15
MOEI-10240,Sick,2026,15,3,12
MOEI-10240,Study,2026,5,3,2
MOEI-10241,Annual,2026,22,20,2
MOEI-10241,Sick,2026,15,6,9
MOEI-10242,Annual,2026,25,23,2
MOEI-10242,Sick,2026,15,4,11
MOEI-10243,Annual,2026,30,2,28
MOEI-10243,Sick,2026,15,1,14
MOEI-10244,Annual,2026,22,22,0
MOEI-10244,Sick,2026,15,6,9
MOEI-10244,Study,2026,10,1,9
MOEI-10245,Annual,2026,30,23,7
MOEI-10245,Sick,2026,15,6,9
MOEI-10246,Annual,2026,25,19,6
MOEI-10246,Sick,2026,15,4,11
MOEI-10247,Annual,2026,25,13,12
MOEI-10247,Sick,2026,15,0,15
MOEI-10248,Annual,2026,25,14,11
MOEI-10248,Sick,2026,15,3,12
MOEI-10248,Study,2026,20,12,8
MOEI-10249,Annual,2026,25,9,16
MOEI-10249,Sick,2026,15,6,9
MOEI-10249,Hajj,2026,15,15,0
MOEI-10250,Annual,2026,25,9,16
MOEI-10250,Sick,2026,15,3,12
MOEI-10251,Annual,2026,30,15,15
MOEI-10251,Sick,2026,15,6,9
MOEI-10252,Annual,2026,25,24,1
MOEI-10252,Sick,2026,15,1,14
MOEI-10253,Annual,2026,25,18,7
MOEI-10253,Sick,2026,15,0,15
MOEI-10254,Annual,2026,22,7,15
MOEI-10254,Sick,2026,15,7,8
MOEI-10255,Annual,2026,30,18,12
MOEI-10255,Sick,2026,15,1,14
MOEI-10256,Annual,2026,30,10,20
MOEI-10256,Sick,2026,15,2,13
MOEI-10257,Annual,2026,25,2,23
MOEI-10257,Sick,2026,15,1,14
MOEI-10258,Annual,2026,25,6,19
MOEI-10258,Sick,2026,15,7,8
MOEI-10259,Annual,2026,30,2,28
MOEI-10259,Sick,2026,15,2,13
MOEI-10260,Annual,2026,25,15,10
MOEI-10260,Sick,2026,15,3,12
MOEI-10260,Hajj,2026,15,13,2
