record_id,employee_id,cycle_year,score,rating_band,objectives_met_pct,reviewer_id
PERF-00050,MOEI-10019,2023,68,Partially Meets,54,MOEI-10012
PERF-00051,MOEI-10019,2024,58,Below Expectations,64,MOEI-10012
PERF-00052,MOEI-10019,2025,65,Partially Meets,70,MOEI-10012
PERF-00053,MOEI-10020,2023,88,Exceeds Expectations,93,MOEI-10131
PERF-00054,MOEI-10020,2024,96,Exceptional,96,MOEI-10131
PERF-00055,MOEI-10020,2025,100,Exceptional,100,MOEI-10131
PERF-00056,MOEI-10021,2023,75,Meets Expectations,71,MOEI-10256
PERF-00057,MOEI-10021,2024,78,Meets Expectations,83,MOEI-10256
PERF-00058,MOEI-10021,2025,79,Meets Expectations,73,MOEI-10256
PERF-00059,MOEI-10022,2023,90,Exceeds Expectations,93,MOEI-10069
PERF-00060,MOEI-10022,2024,85,Exceeds Expectations,83,MOEI-10069
PERF-00061,MOEI-10022,2025,82,Meets Expectations,85,MOEI-10069
PERF-00062,MOEI-10023,2024,79,Meets Expectations,73,MOEI-10084
PERF-00063,MOEI-10023,2025,76,Meets Expectations,73,MOEI-10084
PERF-00064,MOEI-10024,2023,87,Exceeds Expectations,94,MOEI-10134
PERF-00065,MOEI-10024,2024,89,Exceeds Expectations,87,MOEI-10134
PERF-00066,MOEI-10024,2025,88,Exceeds Expectations,89,MOEI-10134
PERF-00067,MOEI-10025,2023,66,Partially Meets,61,MOEI-10035
PERF-00068,MOEI-10025,2024,61,Partially Meets,56,MOEI-10035
PERF-00069,MOEI-10025,2025,59,Below Expectations,65,MOEI-10035
PERF-00070,MOEI-10026,2023,86,Exceeds Expectations,90,MOEI-10078
PERF-00071,MOEI-10026,2024,90,Exceeds Expectations,78,MOEI-10078
PERF-00072,MOEI-10026,2025,84,Meets Expectations,89,MOEI-10078
PERF-00073,MOEI-10027,2023,74,Meets Expectations,75,MOEI-10123
PERF-00074,MOEI-10027,2024,77,Meets Expectations,75,MOEI-10123
PERF-00075,MOEI-10027,2025,68,Partially Meets,73,MOEI-10123
PERF-00076,MOEI-10028,2023,87,Exceeds Expectations,97,MOEI-10089
PERF-00077,MOEI-10028,2024,80,Meets Expectations,83,MOEI-10089
PERF-00078,MOEI-10028,2025,84,Meets Expectations,76,MOEI-10089
PERF-00079,MOEI-10029,2023,85,Exceeds Expectations,93,MOEI-10056
PERF-00080,MOEI-10029,2024,79,Meets Expectations,71,MOEI-10056
PERF-00081,MOEI-10029,2025,79,Meets Expectations,72,MOEI-10056
PERF-00082,MOEI-10030,2023,73,Meets Expectations,66,MOEI-10189
PERF-00083,MOEI-10030,2024,74,Meets Expectations,85,MOEI-10189
PERF-00084,MOEI-10030,2025,76,Meets Expectations,79,MOEI-10189
PERF-00085,MOEI-10031,2023,58,Below Expectations,57,MOEI-10239
PERF-00086,MOEI-10031,2024,69,Partially Meets,74,MOEI-10239
PERF-00087,MOEI-10031,2025,66,Partially Meets,63,MOEI-10239
PERF-00088,MOEI-10032,2024,70,Meets Expectations,74,MOEI-10097
PERF-00089,MOEI-10032,2025,63,Partially Meets,52,MOEI-10097
PERF-00090,MOEI-10033,2023,98,Exceptional,93,MOEI-10071
PERF-00091,MOEI-10033,2024,91,Exceeds Expectations,100,MOEI-10071
PERF-00092,MOEI-10033,2025,96,Exceptional,94,MOEI-10071
PERF-00093,MOEI-10034,2023,74,Meets Expectations,66,MOEI-10072
PERF-00094,MOEI-10034,2024,74,Meets Expectations,81,MOEI-10072
PERF-00095,MOEI-10034,2025,80,Meets Expectations,73,MOEI-10072
PERF-00096,MOEI-10035,2023,85,Exceeds Expectations,87,MOEI-10220
PERF-00097,MOEI-10035,2024,93,Exceeds Expectations,91,MOEI-10220
PERF-00098,MOEI-10035,2025,91,Exceeds Expectations,84,MOEI-10220
PERF-00099,MOEI-10036,2023,47,Below Expectations,40,MOEI-10087
PERF-00100,MOEI-10036,2024,47,Below Expectations,46,MOEI-10087
PERF-00101,MOEI-10036,2025,52,Below Expectations,54,MOEI-10087
PERF-00102,MOEI-10037,2023,73,Meets Expectations,66,MOEI-10131
PERF-00103,MOEI-10037,2024,67,Partially Meets,59,MOEI-10131
PERF-00104,MOEI-10037,2025,73,Meets Expectations,75,MOEI-10131
PERF-00105,MOEI-10038,2023,88,Exceeds Expectations,86,MOEI-10035
PERF-00106,MOEI-10038,2024,94,Exceeds Expectations,98,MOEI-10035
PERF-00107,MOEI-10038,2025,98,Exceptional,100,MOEI-10035
PERF-00108,MOEI-10039,2023,91,Exceeds Expectations,94,MOEI-10012
PERF-00109,MOEI-10039,2024,90,Exceeds Expectations,99,MOEI-10012
PERF-00110,MOEI-10039,2025,89,Exceeds Expectations,85,MOEI-10012
PERF-00111,MOEI-10040,2023,89,Exceeds Expectations,86,MOEI-10199
PERF-00112,MOEI-10040,2024,93,Exceeds Expectations,86,MOEI-10199
PERF-00113,MOEI-10040,2025,93,Exceeds Expectations,86,MOEI-10199
PERF-00114,MOEI-10041,2023,68,Partially Meets,69,MOEI-10085
PERF-00115,MOEI-10041,2024,62,Partially Meets,60,MOEI-10085
PERF-00116,MOEI-10041,2025,75,Meets Expectations,79,MOEI-10085
PERF-00117,MOEI-10043,2023,96,Exceptional,93,MOEI-10084
PERF-00118,MOEI-10043,2024,100,Exceptional,100,MOEI-10084
PERF-00119,MOEI-10043,2025,99,Exceptional,92,MOEI-10084
PERF-00120,MOEI-10044,2023,70,Meets Expectations,63,MOEI-10089
PERF-00121,MOEI-10044,2024,70,Meets Expectations,65,MOEI-10089
PERF-00122,MOEI-10044,2025,61,Partially Meets,54,MOEI-10089
PERF-00123,MOEI-10045,2023,62,Partially Meets,64,MOEI-10057
PERF-00124,MOEI-10045,2024,54,Below Expectations,53,MOEI-10057
PERF-00125,MOEI-10045,2025,66,Partially Meets,64,MOEI-10057
PERF-00126,MOEI-10046,2023,72,Meets Expectations,77,MOEI-10234
PERF-00127,MOEI-10046,2024,67,Partially Meets,70,MOEI-10234
PERF-00128,MOEI-10046,2025,68,Partially Meets,67,MOEI-10234
PERF-00129,MOEI-10047,2023,68,Partially Meets,64,MOEI-10070
PERF-00130,MOEI-10047,2024,75,Meets Expectations,76,MOEI-10070
PERF-00131,MOEI-10047,2025,71,Meets Expectations,70,MOEI-10070
PERF-00132,MOEI-10048,2023,83,Meets Expectations,80,MOEI-10246
PERF-00133,MOEI-10048,2024,76,Meets Expectations,71,MOEI-10246
PERF-00134,MOEI-10048,2025,75,Meets Expectations,72,MOEI-10246
PERF-00135,MOEI-10049,2023,63,Partially Meets,66,MOEI-10212
PERF-00136,MOEI-10049,2024,67,Partially Meets,69,MOEI-10212
PERF-00137,MOEI-10049,2025,58,Below Expectations,61,MOEI-10212
PERF-00138,MOEI-10050,2024,82,Meets Expectations,83,MOEI-10128
PERF-00139,MOEI-10050,2025,84,Meets Expectations,81,MOEI-10128
PERF-00140,MOEI-10051,2023,65,Partially Meets,74,MOEI-10189
PERF-00141,MOEI-10051,2024,70,Meets Expectations,70,MOEI-10189
PERF-00142,MOEI-10051,2025,70,Meets Expectations,67,MOEI-10189
PERF-00143,MOEI-10052,2023,72,Meets Expectations,68,MOEI-10192
PERF-00144,MOEI-10052,2024,60,Partially Meets,51,MOEI-10192
PERF-00145,MOEI-10052,2025,66,Partially Meets,61,MOEI-10192
PERF-00146,MOEI-10053,2023,89,Exceeds Expectations,84,MOEI-10232
PERF-00147,MOEI-10053,2024,97,Exceptional,94,MOEI-10232
PERF-00148,MOEI-10053,2025,100,Exceptional,100,MOEI-10232
PERF-00149,MOEI-10054,2023,69,Partially Meets,63,MOEI-10078
PERF-00150,MOEI-10054,2024,76,Meets Expectations,78,MOEI-10078
PERF-00151,MOEI-10054,2025,69,Partially Meets,74,MOEI-10078
PERF-00152,MOEI-10055,2023,80,Meets Expectations,85,MOEI-10038
PERF-00153,MOEI-10055,2024,79,Meets Expectations,80,MOEI-10038
PERF-00154,MOEI-10055,2025,81,Meets Expectations,76,MOEI-10038
PERF-00155,MOEI-10056,2023,65,Partially Meets,61,MOEI-10089
PERF-00156,MOEI-10056,2024,66,Partially Meets,69,MOEI-10089
PERF-00157,MOEI-10056,2025,59,Below Expectations,45,MOEI-10089
PERF-00158,MOEI-10057,2023,72,Meets Expectations,79,MOEI-10089
PERF-00159,MOEI-10057,2024,75,Meets Expectations,78,MOEI-10089
PERF-00160,MOEI-10057,2025,81,Meets Expectations,79,MOEI-10089
PERF-00161,MOEI-10058,2023,86,Exceeds Expectations,88,MOEI-10026
PERF-00162,MOEI-10058,2024,74,Meets Expectations,71,MOEI-10026
PERF-00163,MOEI-10058,2025,79,Meets Expectations,82,MOEI-10026
PERF-00164,MOEI-10059,2023,76,Meets Expectations,76,MOEI-10245
PERF-00165,MOEI-10059,2024,75,Meets Expectations,69,MOEI-10245
PERF-00166,MOEI-10059,2025,73,Meets Expectations,67,MOEI-10245
PERF-00167,MOEI-10060,2023,71,Meets Expectations,70,MOEI-10039
PERF-00168,MOEI-10060,2024,74,Meets Expectations,76,MOEI-10039
PERF-00169,MOEI-10060,2025,75,Meets Expectations,75,MOEI-10039
PERF-00170,MOEI-10061,2023,74,Meets Expectations,78,MOEI-10212
PERF-00171,MOEI-10061,2024,64,Partially Meets,65,MOEI-10212
PERF-00172,MOEI-10061,2025,66,Partially Meets,61,MOEI-10212
PERF-00173,MOEI-10062,2023,84,Meets Expectations,89,MOEI-10148
PERF-00174,MOEI-10062,2024,79,Meets Expectations,75,MOEI-10148
PERF-00175,MOEI-10062,2025,93,Exceeds Expectations,98,MOEI-10148
PERF-00176,MOEI-10063,2023,86,Exceeds Expectations,85,MOEI-10016
PERF-00177,MOEI-10063,2024,85,Exceeds Expectations,91,MOEI-10016
PERF-00178,MOEI-10063,2025,88,Exceeds Expectations,85,MOEI-10016
PERF-00179,MOEI-10064,2025,80,Meets Expectations,68,MOEI-10035
PERF-00180,MOEI-10065,2023,68,Partially Meets,75,MOEI-10114
PERF-00181,MOEI-10065,2024,73,Meets Expectations,70,MOEI-10114
PERF-00182,MOEI-10065,2025,66,Partially Meets,69,MOEI-10114
PERF-00183,MOEI-10066,2023,71,Meets Expectations,80,MOEI-10159
PERF-00184,MOEI-10066,2024,70,Meets Expectations,72,MOEI-10159
PERF-00185,MOEI-10066,2025,72,Meets Expectations,62,MOEI-10159
PERF-00186,MOEI-10067,2023,80,Meets Expectations,85,MOEI-10150
PERF-00187,MOEI-10067,2024,88,Exceeds Expectations,84,MOEI-10150
PERF-00188,MOEI-10067,2025,87,Exceeds Expectations,89,MOEI-10150
PERF-00189,MOEI-10068,2023,76,Meets Expectations,70,MOEI-10071
PERF-00190,MOEI-10068,2024,76,Meets Expectations,78,MOEI-10071
PERF-00191,MOEI-10068,2025,76,Meets Expectations,74,MOEI-10071
PERF-00192,MOEI-10070,2023,61,Partially Meets,65,MOEI-10030
PERF-00193,MOEI-10070,2024,60,Partially Meets,57,MOEI-10030
PERF-00194,MOEI-10070,2025,58,Below Expectations,54,MOEI-10030
PERF-00195,MOEI-10071,2023,92,Exceeds Expectations,92,MOEI-10012
PERF-00196,MOEI-10071,2024,92,Exceeds Expectations,95,MOEI-10012
PERF-00197,MOEI-10071,2025,92,Exceeds Expectations,86,MOEI-10012
PERF-00198,MOEI-10072,2023,65,Partially Meets,54,MOEI-10134
PERF-00199,MOEI-10072,2024,62,Partially Meets,63,MOEI-10134
PERF-00200,MOEI-10072,2025,64,Partially Meets,69,MOEI-10134
PERF-00201,MOEI-10073,2024,86,Exceeds Expectations,91,MOEI-10260
PERF-00202,MOEI-10073,2025,74,Meets Expectations,77,MOEI-10260
PERF-00203,MOEI-10074,2025,83,Meets Expectations,93,MOEI-10159
PERF-00204,MOEI-10075,2023,76,Meets Expectations,76,MOEI-10237
PERF-00205,MOEI-10075,2024,76,Meets Expectations,77,MOEI-10237
PERF-00206,MOEI-10075,2025,67,Partially Meets,70,MOEI-10237
PERF-00207,MOEI-10076,2023,73,Meets Expectations,68,MOEI-10157
PERF-00208,MOEI-10076,2024,80,Meets Expectations,81,MOEI-10157
PERF-00209,MOEI-10076,2025,85,Exceeds Expectations,87,MOEI-10157
PERF-00210,MOEI-10077,2023,71,Meets Expectations,69,MOEI-10151
PERF-00211,MOEI-10077,2024,82,Meets Expectations,76,MOEI-10151
PERF-00212,MOEI-10077,2025,77,Meets Expectations,69,MOEI-10151
PERF-00213,MOEI-10078,2023,72,Meets Expectations,69,MOEI-10083
PERF-00214,MOEI-10078,2024,76,Meets Expectations,70,MOEI-10083
PERF-00215,MOEI-10078,2025,77,Meets Expectations,82,MOEI-10083
PERF-00216,MOEI-10079,2023,90,Exceeds Expectations,78,MOEI-10159
PERF-00217,MOEI-10079,2024,95,Exceptional,89,MOEI-10159
PERF-00218,MOEI-10079,2025,94,Exceeds Expectations,96,MOEI-10159
PERF-00219,MOEI-10080,2023,72,Meets Expectations,70,MOEI-10169
PERF-00220,MOEI-10080,2024,73,Meets Expectations,75,MOEI-10169
PERF-00221,MOEI-10080,2025,81,Meets Expectations,77,MOEI-10169
PERF-00222,MOEI-10081,2023,82,Meets Expectations,82,MOEI-10245
PERF-00223,MOEI-10081,2024,87,Exceeds Expectations,86,MOEI-10245
PERF-00224,MOEI-10081,2025,82,Meets Expectations,76,MOEI-10245
PERF-00225,MOEI-10082,2023,77,Meets Expectations,76,MOEI-10047
PERF-00226,MOEI-10082,2024,89,Exceeds Expectations,92,MOEI-10047
PERF-00227,MOEI-10082,2025,89,Exceeds Expectations,84,MOEI-10047
PERF-00228,MOEI-10083,2023,88,Exceeds Expectations,82,MOEI-10237
PERF-00229,MOEI-10083,2024,79,Meets Expectations,86,MOEI-10237
PERF-00230,MOEI-10083,2025,82,Meets Expectations,81,MOEI-10237
PERF-00231,MOEI-10084,2023,81,Meets Expectations,81,MOEI-10044
PERF-00232,MOEI-10084,2024,84,Meets Expectations,83,MOEI-10044
PERF-00233,MOEI-10084,2025,87,Exceeds Expectations,88,MOEI-10044
PERF-00234,MOEI-10085,2023,69,Partially Meets,70,MOEI-10042
PERF-00235,MOEI-10085,2024,75,Meets Expectations,74,MOEI-10042
PERF-00236,MOEI-10085,2025,70,Meets Expectations,71,MOEI-10042
PERF-00237,MOEI-10086,2023,91,Exceeds Expectations,85,MOEI-10229
PERF-00238,MOEI-10086,2024,89,Exceeds Expectations,89,MOEI-10229
PERF-00239,MOEI-10086,2025,96,Exceptional,100,MOEI-10229
PERF-00240,MOEI-10087,2025,78,Meets Expectations,75,MOEI-10039
PERF-00241,MOEI-10088,2023,72,Meets Expectations,70,MOEI-10037
PERF-00242,MOEI-10088,2024,72,Meets Expectations,71,MOEI-10037
PERF-00243,MOEI-10088,2025,73,Meets Expectations,76,MOEI-10037
PERF-00244,MOEI-10089,2023,86,Exceeds Expectations,85,
PERF-00245,MOEI-10089,2024,87,Exceeds Expectations,85,
PERF-00246,MOEI-10089,2025,81,Meets Expectations,80,
PERF-00247,MOEI-10090,2023,67,Partially Meets,71,MOEI-10255
PERF-00248,MOEI-10090,2024,81,Meets Expectations,78,MOEI-10255
PERF-00249,MOEI-10090,2025,82,Meets Expectations,76,MOEI-10255
PERF-00250,MOEI-10093,2023,95,Exceptional,91,MOEI-10141
PERF-00251,MOEI-10093,2024,93,Exceeds Expectations,89,MOEI-10141
PERF-00252,MOEI-10093,2025,87,Exceeds Expectations,85,MOEI-10141
PERF-00253,MOEI-10094,2023,81,Meets Expectations,90,MOEI-10147
PERF-00254,MOEI-10094,2024,74,Meets Expectations,73,MOEI-10147
PERF-00255,MOEI-10094,2025,79,Meets Expectations,80,MOEI-10147
PERF-00256,MOEI-10095,2023,64,Partially Meets,72,MOEI-10259
PERF-00257,MOEI-10095,2024,65,Partially Meets,62,MOEI-10259
PERF-00258,MOEI-10095,2025,63,Partially Meets,60,MOEI-10259
PERF-00259,MOEI-10096,2025,70,Meets Expectations,64,MOEI-10090
PERF-00260,MOEI-10097,2023,84,Meets Expectations,80,MOEI-10237
PERF-00261,MOEI-10097,2024,84,Meets Expectations,82,MOEI-10237
PERF-00262,MOEI-10097,2025,89,Exceeds Expectations,85,MOEI-10237
PERF-00263,MOEI-10098,2023,77,Meets Expectations,68,MOEI-10019
PERF-00264,MOEI-10098,2024,70,Meets Expectations,74,MOEI-10019
PERF-00265,MOEI-10098,2025,74,Meets Expectations,65,MOEI-10019
PERF-00266,MOEI-10099,2023,72,Meets Expectations,75,MOEI-10072
PERF-00267,MOEI-10099,2024,78,Meets Expectations,79,MOEI-10072
PERF-00268,MOEI-10099,2025,82,Meets Expectations,79,MOEI-10072
PERF-00269,MOEI-10100,2023,91,Exceeds Expectations,92,MOEI-10067
PERF-00270,MOEI-10100,2024,92,Exceeds Expectations,83,MOEI-10067
PERF-00271,MOEI-10100,2025,92,Exceeds Expectations,90,MOEI-10067
PERF-00272,MOEI-10101,2023,88,Exceeds Expectations,83,MOEI-10128
PERF-00273,MOEI-10101,2024,88,Exceeds Expectations,90,MOEI-10128
PERF-00274,MOEI-10101,2025,88,Exceeds Expectations,84,MOEI-10128
PERF-00275,MOEI-10102,2023,78,Meets Expectations,75,MOEI-10069
PERF-00276,MOEI-10102,2024,84,Meets Expectations,80,MOEI-10069
PERF-00277,MOEI-10102,2025,75,Meets Expectations,67,MOEI-10069
PERF-00278,MOEI-10103,2023,80,Meets Expectations,80,MOEI-10155
PERF-00279,MOEI-10103,2024,81,Meets Expectations,79,MOEI-10155
PERF-00280,MOEI-10103,2025,82,Meets Expectations,86,MOEI-10155
PERF-00281,MOEI-10104,2023,65,Partially Meets,69,MOEI-10072
PERF-00282,MOEI-10104,2024,67,Partially Meets,66,MOEI-10072
PERF-00283,MOEI-10104,2025,67,Partially Meets,66,MOEI-10072
PERF-00284,MOEI-10105,2023,94,Exceeds Expectations,90,MOEI-10151
PERF-00285,MOEI-10105,2024,95,Exceptional,92,MOEI-10151
PERF-00286,MOEI-10105,2025,84,Meets Expectations,90,MOEI-10151
PERF-00287,MOEI-10106,2023,97,Exceptional,97,MOEI-10256
PERF-00288,MOEI-10106,2024,100,Exceptional,100,MOEI-10256
PERF-00289,MOEI-10106,2025,94,Exceeds Expectations,94,MOEI-10256
PERF-00290,MOEI-10107,2023,78,Meets Expectations,82,MOEI-10212
PERF-00291,MOEI-10107,2024,77,Meets Expectations,83,MOEI-10212
PERF-00292,MOEI-10107,2025,76,Meets Expectations,68,MOEI-10212
PERF-00293,MOEI-10108,2023,66,Partially Meets,59,MOEI-10039
PERF-00294,MOEI-10108,2024,76,Meets Expectations,69,MOEI-10039
PERF-00295,MOEI-10108,2025,71,Meets Expectations,72,MOEI-10039
PERF-00296,MOEI-10109,2023,61,Partially Meets,60,MOEI-10159
PERF-00297,MOEI-10109,2024,68,Partially Meets,63,MOEI-10159
PERF-00298,MOEI-10109,2025,64,Partially Meets,64,MOEI-10159
PERF-00299,MOEI-10110,2023,84,Meets Expectations,84,MOEI-10131
PERF-00300,MOEI-10110,2024,83,Meets Expectations,83,MOEI-10131
PERF-00301,MOEI-10110,2025,88,Exceeds Expectations,87,MOEI-10131
PERF-00302,MOEI-10111,2023,72,Meets Expectations,68,MOEI-10200
PERF-00303,MOEI-10111,2024,76,Meets Expectations,74,MOEI-10200
PERF-00304,MOEI-10111,2025,79,Meets Expectations,81,MOEI-10200
PERF-00305,MOEI-10112,2023,77,Meets Expectations,69,MOEI-10119
PERF-00306,MOEI-10112,2024,93,Exceeds Expectations,91,MOEI-10119
PERF-00307,MOEI-10112,2025,90,Exceeds Expectations,93,MOEI-10119
PERF-00308,MOEI-10113,2023,92,Exceeds Expectations,90,MOEI-10169
PERF-00309,MOEI-10113,2024,93,Exceeds Expectations,94,MOEI-10169
PERF-00310,MOEI-10113,2025,98,Exceptional,99,MOEI-10169
PERF-00311,MOEI-10114,2023,95,Exceptional,92,MOEI-10134
PERF-00312,MOEI-10114,2024,89,Exceeds Expectations,82,MOEI-10134
PERF-00313,MOEI-10114,2025,84,Meets Expectations,71,MOEI-10134
PERF-00314,MOEI-10115,2023,59,Below Expectations,59,MOEI-10176
PERF-00315,MOEI-10115,2024,51,Below Expectations,45,MOEI-10176
PERF-00316,MOEI-10115,2025,62,Partially Meets,60,MOEI-10176
PERF-00317,MOEI-10116,2025,76,Meets Expectations,77,MOEI-10176
PERF-00318,MOEI-10117,2025,47,Below Expectations,45,MOEI-10092
PERF-00319,MOEI-10118,2023,66,Partially Meets,77,MOEI-10151
PERF-00320,MOEI-10118,2024,69,Partially Meets,68,MOEI-10151
PERF-00321,MOEI-10118,2025,71,Meets Expectations,67,MOEI-10151
PERF-00322,MOEI-10119,2023,90,Exceeds Expectations,90,MOEI-10189
PERF-00323,MOEI-10119,2024,85,Exceeds Expectations,90,MOEI-10189
PERF-00324,MOEI-10119,2025,85,Exceeds Expectations,78,MOEI-10189
PERF-00325,MOEI-10120,2023,90,Exceeds Expectations,100,MOEI-10259
PERF-00326,MOEI-10120,2024,87,Exceeds Expectations,76,MOEI-10259
PERF-00327,MOEI-10120,2025,88,Exceeds Expectations,88,MOEI-10259
PERF-00328,MOEI-10121,2023,66,Partially Meets,66,MOEI-10159
PERF-00329,MOEI-10121,2024,76,Meets Expectations,76,MOEI-10159
PERF-00330,MOEI-10121,2025,79,Meets Expectations,80,MOEI-10159
PERF-00331,MOEI-10122,2023,84,Meets Expectations,80,MOEI-10212
PERF-00332,MOEI-10122,2024,76,Meets Expectations,70,MOEI-10212
PERF-00333,MOEI-10122,2025,79,Meets Expectations,72,MOEI-10212
PERF-00334,MOEI-10123,2023,87,Exceeds Expectations,82,MOEI-10090
PERF-00335,MOEI-10123,2024,82,Meets Expectations,92,MOEI-10090
PERF-00336,MOEI-10123,2025,85,Exceeds Expectations,88,MOEI-10090
PERF-00337,MOEI-10124,2023,77,Meets Expectations,75,MOEI-10078
PERF-00338,MOEI-10124,2024,67,Partially Meets,70,MOEI-10078
PERF-00339,MOEI-10124,2025,67,Partially Meets,66,MOEI-10078
PERF-00340,MOEI-10125,2024,74,Meets Expectations,68,MOEI-10114
PERF-00341,MOEI-10125,2025,77,Meets Expectations,71,MOEI-10114
PERF-00342,MOEI-10126,2023,89,Exceeds Expectations,100,MOEI-10173
PERF-00343,MOEI-10126,2024,83,Meets Expectations,77,MOEI-10173
PERF-00344,MOEI-10126,2025,84,Meets Expectations,83,MOEI-10173
PERF-00345,MOEI-10127,2023,84,Meets Expectations,80,MOEI-10239
PERF-00346,MOEI-10127,2024,83,Meets Expectations,82,MOEI-10239
PERF-00347,MOEI-10127,2025,83,Meets Expectations,83,MOEI-10239
PERF-00348,MOEI-10128,2023,83,Meets Expectations,79,MOEI-10220
PERF-00349,MOEI-10128,2024,83,Meets Expectations,83,MOEI-10220
PERF-00350,MOEI-10128,2025,84,Meets Expectations,79,MOEI-10220
PERF-00351,MOEI-10129,2023,77,Meets Expectations,78,MOEI-10087
PERF-00352,MOEI-10129,2024,82,Meets Expectations,78,MOEI-10087
PERF-00353,MOEI-10129,2025,79,Meets Expectations,82,MOEI-10087
PERF-00354,MOEI-10130,2023,80,Meets Expectations,85,MOEI-10028
PERF-00355,MOEI-10130,2024,78,Meets Expectations,79,MOEI-10028
PERF-00356,MOEI-10130,2025,82,Meets Expectations,81,MOEI-10028
PERF-00357,MOEI-10131,2024,75,Meets Expectations,58,MOEI-10042
PERF-00358,MOEI-10131,2025,77,Meets Expectations,80,MOEI-10042
PERF-00359,MOEI-10132,2023,65,Partially Meets,56,MOEI-10259
PERF-00360,MOEI-10132,2024,65,Partially Meets,71,MOEI-10259
PERF-00361,MOEI-10132,2025,63,Partially Meets,60,MOEI-10259
PERF-00362,MOEI-10133,2023,90,Exceeds Expectations,84,MOEI-10021
PERF-00363,MOEI-10133,2024,85,Exceeds Expectations,81,MOEI-10021
PERF-00364,MOEI-10133,2025,86,Exceeds Expectations,90,MOEI-10021
PERF-00365,MOEI-10134,2023,53,Below Expectations,52,
PERF-00366,MOEI-10134,2024,57,Below Expectations,64,
PERF-00367,MOEI-10134,2025,62,Partially Meets,65,
